Title,Content,Target Organization,Label 1,Label 2,Label 3,Label 4,Label 5
Who's News: Jan. 29,"View Comments
Doug Brauer, franchisee of FASTSIGNS of Appleton, was awarded the franchise networks most prestigious recognition: the FASTSIGNS Award. This award is given each year to the franchisee who best represents the concept and the spirit of the FASTSIGNS brand, both in their local business community and in the FASTSIGNS network of more than 650 independently owned and operated locations.
The Retirement Advisor University has credentialed Nathan Schleicher as a Certified 401(k) Professional, who holds the C(k)P Designation, which represents a distinguished achievement for the professional Retirement Plan Advisor. The C(k)P or Certified 401(k) Professional Designation is administered by The Retirement Advisor University in collaboration with UCLA Anderson School of Management Executive Education. Matthew Krenke, CFP has been authorized by the Certified Financial Planning Board of Standards to use the certified financial planning and CFP certification marks in accordance with CFP Board certification and renewal requirements.
The Allergy and Asthma Center a Division of Ear, Nose & Throat Specialists of Wisconsin has announced that Angela Stengel has been certified as an asthma educator. The National Asthma Educator Certification Board provides the Certified Asthma Educator examination. Stengel is one of the few Certified Asthma Educators in Wisconsin. Stengel has been an RN in the Fox Valley area for more than 20 years and is currently at the Allergy and Asthma Center in Neenah.
Home Builders Association of the Fox Cities has hired membership and workforce development manager Shelly Van Skyhawk and administrative assistant Stacie Hazlett. Van Skyhawks primary responsibilities are recruitment and retention of members and membership program development. She will serve as the associations chief engagement advocate and work with local middle and high schools and technical colleges on workforce development. Hazlett will assist in all areas, most specifically with membership and events, as well as take on the role of coordinator for the U.S. Marine Corps Toys for Tots program.
Bobbi Jo Noeller, licensed esthetician, has moved to Forefront Aesthetics clinic in Appleton. With more than 10 years of experience in aesthetics, she specializes in many treatments that help the overall look of the skin as well as makeup application.
McMAHON recently hired Tom Monteverde as a structural engineer to work in its corporate headquarters in Neenah. Monteverde holds a masters degree and a bachelors degree from the Milwaukee School of Engineering. He has held previous positions as a structural engineer for a power engineering firm and most recently as a project manager for a large construction company.
Scott Teerlinck of Werner Electric Supply has been named to the board of directors of New North Inc. Teerlinck has been president at Werner Electric Supply in Appleton since January 2013. He spent the prior 19 years of his professional career with Rockwell Automation. Teerlinck received a bachelors degree from the University of Wisconsin-Madison. He later earned master's degree from the Rochester Institute of Technology.
Faith Technologies recently hired Renee Torzala to fill its newest position of community relations manager at its corporate headquarters in Menasha. Torzala will be responsible for leading Faiths community relations strategies including supporting the fundraising and program development for Faiths major philanthropic project, the Gordon Bubolz Nature Preserves new environmental center. Prior to her position at Faith, Torzala was with Appleton Downtown Inc. She holds a bachelor's degree from the University of Wisconsin-Oshkosh. She brings more than 20 years of experience in communication and community relations to Faith.
Bill Baer has been re-elected to the Lawrence University Board of Trustees for a three-year term, effective Feb. 1. He previously served on the board from 2001-12, including the last two years as vice chair of the board. He returns to the board after stepping down Jan. 20 from his position in the U.S. Department of Justice. A 1972 Lawrence graduate, Baer has established himself as one of the nations leading antitrust attorneys. He began his career at the Federal Trade Commission and beginning in 1980, spent 15 years as head of the antitrust division of the law firm of Arnold & Porter. In 2010, the National Law Journal named him as one of the decades most influential lawyers and the International Whos Who of Business Lawyers named Baer the leading competition lawyer in the world in 2006 and 2007. After earning a bachelors degree in government from Lawrence, Baer earned his J.D. degree from Stanford Law School.",The Allergy and Asthma Center,participation in an event,event organization,executive appointment,hiring,
"Sage Dental Announces Grand Opening of Dental Office in North Druid Hills, Georgia","Sage Dental
, a leading dental service organization committed to providing consistent, high-quality care, as well as non-clinical business and administrative services to affiliated practices, announced today that it has opened a new office in North Druid Hills, Georgia. The new, state-of-the-art facility offers all the latest conveniences of a modern dental practice, including teledentistry screening appointments, virtual check-ins, online scheduling, paperless billing, and more. Additionally, the new facility is built with safe dental care in mind during the COVID-19 pandemic and adheres to the companys # SageSafeprogram, including enhanced air filtration, illness pre-screening, contactless paperwork, and other protective measures.
Located at 2171 Lavista Road NE, Atlanta, the office is now open and accepting new patients.
Were proud to be expanding our presence in the central Georgia area, delivering on our commitment of providing patients with convenient dental locations, comfortable offices, and caring staff, said Tom Marler, President & CEO of Sage Dental Management. As with all of Sage Dentals offices, the North Druid Hills location will provide the latest in cutting-edge dental technology, including patient-centric services like teledentistry check-ins, AI-powered remote orthodonture treatment monitoring, digital x-rays, and more. Sages continued expansion in Florida and Georgia is a testament to the interest in and success of such innovative offerings, and we look forward to making them accessible to more patients.
Serving more than 250,000 patients across Florida and Georgia, the North Druid Hills location is Sage Dentals ninth practice in Georgia and the companys 67th location nationally. Sage Dental is committed to leveraging the latest, evidence-based technological advancements in dentistry to offer safe, convenient, and comfortable dental solutions for patients and dental providers alike.
To learn more or schedule an appointment at any of Sage Dentals locations, please visit: www.mysagedental.com
To learn about open positions at North Druid Hills and other Sage Dental locations, visit www.mysagedental.com/careers
About Sage Dental and Sage Dental Management, LLC
Sage Dental Group of Florida, PLLC, and Sage Dental Group of Georgia, PLLC have provided dental care to over 1 million patients through its broad practice network, which offers general, specialty, and cosmetic dental care, including restorative, prosthodontic, endodontic, oral surgery, periodontics, pediatric, and orthodontic treatment. Sage Dental also participates in most dental plans and offers payment options, including financing options.
To help patients stay healthy while continuing their dental care during the pandemic, SageSafe was implemented to enhance safety protocols in-office, including personal protective equipment, virtual check-in, virtual consultations, and enhanced air filtration.
Sage Dental Management, LLC is a leading dental service organization based in Boca Raton, Florida, that provides comprehensive non-clinical business and administrative support services to nearly 70 affiliated Sage Dental practices in Florida and Georgia.
For a complete list of services and locations, please visit www.mysagedental.comor follow @MySageDental on Facebook Instagram and Twitter
View source version on",Sage Dental,expanding geography,executive statement,company description,,
See sneak peek of a $3.5M Michigan-made luxury yacht,"high-end home on the water
, Tiara Yachts is designing its biggest and most expensive boat yet.
Thomas Slikkers, Tiara Yachts president and CEO, spoke to MLive recently about the EX 60 inside the companys Holland headquarters, 725 E. 40th St. A portion of the interview is shared in the video.
With a roughly $3.5 million price tag, the EX 60 will feature a customizable cockpit with plush seating, an outdoor breakfast bar and two bathrooms. It boasts a well-appointed kitchen, and the propulsion system has extras such as assisted docking. Below deck, three sleeping areas can accommodate six adults.
We feel like this is going to just really put up a lot of new benchmarks and a lot of new firsts for our company and also for the industry, Slikkers said.
Related:
In the works for 1  years, the EX 60 is still under development, but the prototype is slated to be complete by mid-August and available to customers later this year.
For more than 60 years, the Slikkers family has been making boats in Holland.
Thomas Slikkers said product, place and people are critical to his companys philosophy that focuses on luxury creating a comfortable, quiet experience for customers.
I think this building and what we do inside of it is second to none in the world. I think our product is second to none in the world, Slikkers said. But I think were also blessed in the sense that we have some awesome people here and I think the combination of those three things make us unstoppable.
Rendering of the Tiara Yachts EX 60. (Provided by Tiara Yachts)
Tom Slikkers, Tiara Yachts president and CEO, speaks inside the Holland company on Thursday, March 10, 2022. (Cory Morse | MLive.com)
Andrew Bartlett, Tiara Yachts director of design, talks inside the Holland company on Thursday, March 10, 2022. (Cory Morse | MLive.com)
Tom Slikkers, Tiara Yachts president and CEO, shows rendering of the EX 60 inside the Holland company on Thursday, March 10, 2022. (Cory Morse | MLive.com)
Rendering of the Tiara Yachts EX 60 aft cockpit with terraces down. (Provided by Tiara Yachts)
Rendering of the Tiara Yachts EX 60 master stateroom. (Provided by Tiara Yachts)
Rendering of the Tiara Yachts EX 60 salon with bulkhead and door open. (Provided by Tiara Yachts)
Rendering of the Tiara Yachts EX 60 alfresco seating module and aft adventure module. (Provided by Tiara Yachts)
Rendering of the Tiara Yachts EX 60 alfresco seating module and aft lounge module. (Provided by Tiara Yachts)
Rendering of the Tiara Yachts EX 60 alfresco breakfast bar module and aft lounge module. (Provided by Tiara Yachts)
Rendering of the Tiara Yachts EX 60 trunk and storage. (Provided by Tiara Yachts)
Tiara Yachts in Holland on Thursday, March 10, 2022. (Cory Morse | MLive.com)
Click into the gallery below to see more photos, or click here for a direct link to the gallery.
33",MLive.com,product launching & presentation,executive statement,,,
Norwalk photos: Rebel Daughter Day in Art Park,"Tweet
The Art Park Pop Up Market around 1:30 p.m. Tuesday. (John Levin)
Liz Perpek, marketing director for Frannys Farmacy in Westport. Westport is the first franchise of this hemp and CBD products producer and distributor with a store on 33 Elm Street. They have an application pending for a THC products license in Westport. The store has partnered with Easton Grows to locally grow hemp products on town of Easton owned farm land. (John Levin)
NORWALK, Conn. John Levin took these photos Tuesday in the Isaacs Street parking lot owned by real estate broker Jason Milligan.
Rebel Daughter Cookies has taken the space formerly solely occupied by Nutty Bunny, on the eastern side of the former Leonard Street municipal parking lot. Owner Anna Grossman organized a women-owned business pop-up and about 30 companies attended, Milligan said. It was a grand opening that coincided with International Womens Day.
She was pleasantly surprised with the number of businesses that wanted to participate and with the turnout, Milligan said. It seems like the visitors and businesses would be interested in doing it again.
Grossman, a Wilton resident, started the business in November 2019, and opened its bakery and pickup location at 21 Isaacs St. last month, Levin said. Her cookies are f amazing I accused her of being a crack dealer.
Inside Rebel Daughter, where other businesses were selling stuff: Nutty Bunny non-dairy ice cream, Sylvias Kitchen, and others. (John Levin)
Jenifer Milano of The Vintage Horse. Shes from Trumbull. (John Levin)
Products from Frannys Farmacy in Westport. (John Levin)
From left, Chelsea Daniel, Alix Daher, and Anne Grossman. (John Levin)
Products from Frannys Farmacy in Westport. (John Levin)
(John Levin)
John Levin said he tasted this AMAZING Chili Oil product made by Norwalker Aya Forster and its labeling is accurate. (John Levin)
Norwalker Aya Forster and her Chili Oil products. (John Levin)
Products from Frannys Farmacy in Westport. (John Levin)
Norwalker Ilana Eck, founded Stylish Spoon to offer gluten free amazing baked goods, and will be opening a production facility on Water Street in April or May, John Levin said. At left is Norwalker Genie Morris, loyal longtime Stylish Spoon customer and also the founder and manager of Norwalk Moms, Instagram at: https://www.instagram.com/norwalkmoms/?hl=en and https://www.instagram.com/explore/tags/norwalkmoms/ (John Levin)",Franny's Farmacy,regulatory approval,alliance & partnership,,,
Advocate Aurora sees COVID hospitalizations hit all-time high,"5:06 PM, Jan 03, 2022
and last updated
2022-01-03 19:12:48-05
MILWAUKEE Advocate Aurora Health leaders reported the health system hit a record high of hospitalized COVID patients since the pandemic began.
During a media briefing on Monday, the health system said 1,491 people are in the hospital for COVID-19 across its Wisconsin and Illinois locations. The chief nursing officer went on to say their patient load more than doubled in the last month and quadrupled over the past 60 days.
A spokesperson specified later than 528 of the patients are in Wisconsin. There are 142 COVID patients at Aurora St. Luke's Medical Center alone, the majority of Wisconsin cases.
""These are very concerning numbers, not just numbers. But people who are so ill that they require hospitalization,"" said Mary Beth Kingston, chief nursing officer for Advocate Aurora Health Care.
""While we see plenty of vaccinated individuals infected, the overwhelming majority of our COVID positive inpatients and the more severely affected inpatients are unvaccinated,"" said Dr. Jeff Bahr, chief medical group officer for Advocate Aurora.
Health system leaders said 92% of inpatients are either unvaccinated, partially vaccinated, or due for a booster.
Pulmonologist Dr. Raul Mendoza says they cannot distinguish what variant patients have, and while the omicron variant can be a milder illness, it is still impacting the unvaccinated and immunocompromised people most.
""As you'll remember, we have now more tools to treat this condition, but there are not perfect. Still the mortality is quite high once you make it to the intensive care unit,"" Dr. Mendoza said.
Aurora Health Care recently paused services at 3 Milwaukee area urgent care sites to staff others in the area.
Dr. Bahr said they are working with Gov. Tony Evers and the state to meet community demand.
""We're not delaying cancer diagnoses, cancer treatment, or life-saving limb-saving surgeries and procedures. At the same time, we are postponing or delaying - not canceling but rescheduling - certain procedures to times and places where there is appropriate staffing and space and capacity,"" Dr. Bahr said.
Ascension Wisconsin reported as of Monday afternoon it has 255 hospitalized COVID patients, nearly triple what it had 8 weeks ago.
With the health care system so overwhelmed, health professionals encouraged people to consider their symptoms and condition when seeking testing and care.",Advocate Aurora Health,executive statement,,,,
Meet Rootine: A Personalized Vitamin Customized To Your DNA,"Rootine
Courtesy of Rootine
Co-founders of Rootine Vitamins Rachel Soper Sanders and Daniel Wallerstorfer, have launched an innovative way to get people to take vitamins more efficiently. Thecompany uses your genetics, lifestyle, and blood levels to create a truly customized vitamin routine. Sanders andWallerstorfer had their own personal experiences leading them to therealizationthat one-size-fits-all multivitamins are missing the key data sources that would make them truly personalized for optimized benefits. After receiving her MBA from Harvard Business School to focus on the health and wellness space, Sanders constantly questioned the viability of the vitamin industry. ""Before Rootine, I was skeptical of vitamins. I often wondered why it made sense for me to take the same vitamin as everyone else or how a company could know what I needed based on a simple lifestyle quiz? Standard multivitamins are built for the ""average person"", filled with standard dosages and often have unnecessary fillers or unhealthy ingredients,"" says Sanders.
Co-founder of Rootine, Rachel Sanders.
Courtesy of Rootine
In addition to being free of additional fillers, unnatural ingredients or other irritants - Rootine was developed by a team of genetic experts and supplement technicians who spent eight years perfecting the science behind keeping you healthy. With
claimingthat vitamins do not do much to improve your health and can even hinder it, Sanders explains how Rootine is different from any other Vitamin company on the market.
Yola Robert: How has Rootine differentiated itself from other vitamin companies out there?
Rachel Sanders: There are three key ways we have differentiated ourselves:
1. Personalization
Standard multivitamins are built for the ""average"" person filled with the same nutrients and dosages across the board. Even companies offering levels of customization only go so far - a lifestyle quiz is simply not enough to determine the nutrients that you need. To truly capture a person's needs you need to look at all of the areas where people differ - genetics, lifestyle, and blood nutrient levels - and combine that data in an intelligent way.
Rootine
is the only vitamin that incorporates your DNA, lifestyle factors (like diet), and blood levels and then creates a 100% custom-dosed daily vitamin for each customer. Because ""one-size-fits-all"" actually fits no one.

2. Science, Research, and Data
Rootine
s co-founder, Dr. Daniel Wallerstorfer is a leading genetic scientist and has over a decade of experience building personalized health and wellness products.Our proprietary algorithm and microbead technology were built from the ground up by a team of leading scientists, medical experts, and supplement specialists.
Rootine
has also partnered with Europes leading genetics and nutrients lab for all lab testing and vitamin production - ensuring the highest quality at every step.
Our advanced technology and team of experts comes together to help customers learn more about their body and what nutrients work best for them through the in-depth nutrient report available on each customer's dashboard.

3. Microbeads Do It Better

Unlike traditional vitamins,
Rootine
drops the capsules and pills. This ensures the best quality product and optimal delivery for vitamins and minerals in the form of slow-release microbeads. Our plant-based cellulose microbeads contain primarily natural & 100% vegetarian ingredients. No more large horse pills you see everywhere else. The innovative slow-release microbeads deliver a customized dosage of vitamins into your bloodstream throughout the day, which is how your body naturally likes to absorb nutrients - in the same way, it would from food. To take the vitamins all you have to do is swallow the microbead packet with water, or get creative and stir them into your yogurt or sprinkle them on any meal.
Robert:
Why is it important to take DNA into consideration whenchoosingvitamins?
Sanders:
On average, if you take 20 different nutrients, one will be harmful, two will have no effect and the rest will be incorrectly dosed. DNA plays a large role in determining which nutrients are the harmful ones and which are helpful.
For example, certain individuals with a genetic variation on the HFE gene, taking extra iron supplements can be similar to poisoning your body over time and may even lead to death Another example is when an individual with a genetic variation on theNQO1 gene, Co-Enzyme Q10 could be completely useless because their bodies cannot activate the nutrient
Follow me on",Rootine,executive statement,participation in an event,,,
QLER Telepsychiatry Awarded Behavioral Health Care Accreditation from The Joint Commission,"QLER Telepsychiatry
, America's leading on-demand psychiatry partner, has earned The Joint Commission's Gold Seal of Approval for Behavioral Health and Human Services Accreditation by demonstrating continuous compliance with its performance standards. The Gold Seal is a symbol of quality that reflects the organization's commitment to providing safe and quality patient care.
Continue Reading
QLER Telepsychiatry has earned The Joint Commission's Gold Seal of Approval.
The Joint Commission's standards are developed in consultation with health care experts and providers, measurement experts and patients. They are informed by scientific literature and expert consensus to help health care organizations measure, assess, and improve performance.
To earn this highly regarded accreditation, QLER Telepsychiatry underwent a rigorous review, during which The Joint Commission reviewer evaluated compliance with its Behavioral Health Care and Human Services Program standards spanning several areas including care and treatment, leadership, medication management, national patient safety goals, performance improvement, rights and responsibilities of the individual, and emergency management.
QLER Chief Executive Officer,
Frank Johnson
, stated ""we are delighted with our recent accreditation and all that it communicates about our clinical process and standards at QLER. We intend to be a force for quality, leadership, economy, and reach on the behavioral care landscape here in America.""
Dr.
Greg Renck
, the President of QLER Physician Medical Group, remarked that ""our physician group came together to form an integrated team of psychiatrists with very specific goals to improve the state of psychiatric care in health systems. We expect The Joint Commission to be a long-term partner in that work.""
As a telepsychiatry company, QLER is one of the first companies to be accredited under The Joint Commission's new technology-based accreditation program. They are proud to be leading the way for quality-based telemedicine.
For more information on the accreditation standards and process, please visit The Joint Commission website
About QLER Telepsychiatry
QLER Telepsychiatry
makes a simple offer to the country's healthcare systems: we promise any health system in the country the opportunity to integrate effective and economical, real-time behavioral healthcare throughout their care processes. Healthcare providers no longer need manage without critical behavioral health resources due to community location, social factors, or scale of operation.
QLER Telepsychiatry's on-demand partnerships with regional health systems makes psychiatric coverage simple and economical. Regional health systems can depend on QLER for fast and high-quality psychiatrists 24/7/365. This allows the health system leadership to move on to solve other problems.
QLER Telepsychiatry began as qlr Solutions in 2017 and has since averaged 45% year-over-year growth, continually refining its model. The QLER Physicians group is on its way to being the largest group of psychiatrists in the country and currently partners with regional health systems coast to coast.
Media Contact:",Behavioral Dimensions,regulatory approval,executive statement,company description,,
"Weekly companion animal news: April 5, 2021","Weekly companion animal news: April 5, 2021
April 2021
Share
Petco launches Whole Health philosophy to promote pet well-being
Petco has launchedan industry-wide Whole Health philosophy, highlighting five interconnected dimensions of pet health: physical health, mental health, social health, home health and accessible health. The program was devised with the goal of improving pet well-being and for each dimension to strengthen the others when addressed as a whole, the company said. As part of the launch, Petco will kick off a three-week Petco Whole Health challenge April 5 to reward pet owners for taking initiative to improve their pets overall wellness. The company also said its removing traditional rawhide products from store shelves.
Russia registers worlds first COVID-19 vaccine for animals
Russia has registered the worlds first vaccine for animals against COVID-19, its agricultural regulator said, after tests showed it generated antibodies against the virus in dogs, cats, foxes and mink. Mass production of the vaccine, called Carnivac-Cov, can start in April, the regulator Rosselkhoznadzor said. The regulator said the vaccine would be able to protect vulnerable species and thwart viral mutations, Reuters reports Rosselkhoznadzor said Russian fur farms planned to buy the vaccine, along with businesses in Greece, Poland and Austria.
COVID-19 in stray dog and cat in Brazil indicates stray animals could also be at risk
Researchers found COVID-19 antibodies in a stray cat and dog in Rio de Janeiro, Brazil, indicating the potential vulnerability of stray animals to the coronavirus, Forbes reports The virus has been detected on public surfaces and in the sewage system in large Brazilian cities, which means these environments could be a potential source of infection. Contact with infected animals and humans are also potential sources of infection.
U.S. regulators push toward model pet insurance rules
U.S. insurance regulators are close to creating a legal standard for pet insurance that would address longstanding consumer complaints that insurers rarely pay for their pets care, Reuters reports A National Association of Insurance Commissioners committee was scheduled to meet March 26 to discuss fine-print provisions about several controversial issues. Those issues include determining whether a pets condition is preexisting and how long customers must wait after buying coverage to file claims. The committee is preparing for NAICs national meeting in April, which brings together regulators from all 50 states. Once the committee presents a model pet insurance law for those regulators to approve, state legislatures can then decide whether to adopt the proposed law or create their own versions.
New supplement supports joint health in cats
Lintbells has released a feline version of its YuMove Advance 360 nutritional supplement, formulated to support joint health and the bodys anti-inflammatory process. Its available exclusively from veterinary channel distributor MWI Animal Health. The new product is made from New Zealand-harvested green-lipped mussels, which Lintbells reported are rich in omega-3 fatty acids. Fellow NAVC publication Todays Veterinary Business has more
Bill would increase access to service dogs for veterans with PTSD
U.S. senators are uniting in support of a bill that would provide veterans experiencing post-traumatic stress disorder with access to service dogs. The Puppies Assisting Wounded Service Members Act, or PAWS, would establish a three-year program in which the Secretary of Veterans Affairs would provide grants of up to $25,000 per veteran to eligible organizations to pair veterans experiencing PTSD with service dogs. A recent study by the VA found that participants who were given service dogs experienced a reduction in their PTSD symptoms and had fewer suicidal behaviors and ideations. WTXL reports
Poll finds 10% of older U.S. adults adopted a pet during the pandemic
About 10% of U.S. adults between the ages of 50 and 80 adopted a new pet between March 2020 and January 2021, a new poll from the University of Michigan found That number was 16% of people aged 50 to 80 with a child under 18 at home and 9% for those with no children at home. Pet ownership was higher among poll participants 50 to 64 years old, women, white respondents, and people who live in single-family detached homes or are employed. Older adults said having a pet helped them enjoy life and reduce stress, gave them a sense of purpose, kept them on a routine and connected them with other people. For dog owners, it helped them be physically active.
New SoundByte: Selarid
Selarid (selamectin) is a topical parasite preventive for cats and dogs offering year-round protection against heartworm and fleas. Its manufacturer, Norbrook, says Selarid is affordable both for clinics and clients. More information is available in the SoundBytefrom Veterinary Advantage.
Share",Whole Health,product launching & presentation,executive statement,event organization,,
Brain Neurotherapy Bio,"Leave a comment
Dr. Krystof Bankiewicz
Brain Neurotherapy Bio, Inc. (BNB) is pleased to announce the treatment of the first patient in its Parkinsons gene therapy study. The CIRM-funded study led by Dr. Krystof Bankiewicz, is one of the 64 clinical trials funded by the California state agency to date.
Parkinsons is a neurodegenerative movement disorder that affects one million people in the U.S alone and leads to shaking, stiffness, and problems with walking, balance, and coordination. It is caused by the breakdown and death of dopaminergic neurons, special nerve cells in the brain responsible for the production of dopamine, a chemical messenger that is crucial for normal brain activity.
The patient was treated at The Ohio State University Wexner Medical Center with a gene therapy designed to promote the production of a protein called GDNF, which is best known for its ability to protect dopaminergic neurons, the kind of cell damaged by Parkinsons. The treatment seeks to increase dopamine production in the brain, alleviating Parkinsons symptoms and potentially slowing down the disease progress.
We are pleased to support this multi-institution California collaboration with Ohio State to take a novel first-in-human gene therapy into a clinical trial for Parkinsons Disease. says Maria T. Millan, M.D., President and CEO of CIRM. This is the culmination of years of scientific research by the Bankiewicz team to improve upon previous attempts to translate the potential therapeutic effect of GDNF to the neurons damaged in the disease. We join the Parkinsons community in following the outcome of this vital research opportunity.
CIRM Board Member and patient advocate David Higgins, Ph.D. is also excited about this latest development. For Dr. Higgins, advocating for Parkinsons is a very personal journey since he, his grandmother, and his uncle were diagnosed with the disease.
Our best chance for developing better treatments forParkinsons is to test as many logical approaches aspossible. CIRM encourages out-of-the-box thinking byproviding funding for novel approaches. The Parkinsons community is a-buzz withexcitement about the GDNF approach and looks to CIRM to identify, fund, and promote these kinds of programs.
In a news release Dr. Sandra Kostyk, director of the Movement Disorders Divisionat Ohio State Wexner Medical Center said this approach involves infusing a gene therapy solution deep into a part of the brain affected by Parkinsons: This is a onetime treatment strategy that could have ongoing lifelong benefits. Though its hoped that this treatment will slow disease progression, we dont expect this strategy to completely stop or cure all aspects of the disease. Were cautiously optimistic as this research effort moves forward.
Other trial sites located in California that are currently recruiting patients are the University of California, Irvine (UCI) and the University of California, San Francisco (UCSF). Specifically, the Irvine trial site is using the UCI Alpha Stem Cell Clinic one of five leading medical centers throughout California that make up the CIRM Alpha Stem Cell Clinic (ASSC) Network. The ASSC Network specializes in the delivery of stem cell therapies by providing world-class, state of the art infrastructure to support clinical research.
For more information on the trial and enrollment eligibility, you can directly contact the study coordinators by email at the trial sites listed:
The Ohio State University:",Brain Neurotherapy Bio,new initiatives & programs,executive statement,,,
Short's partners with Skymint for Traverse City launch,"The Skymint location in Traverse City.
Special to the Record-Eagle
Cannabis-infused gummies flavored like Soft Parade Short's beer.
Special to the Record-Eagle
Cannabis-infused gummies flavored like Mosa from Star Cut Ciders.
Special to the Record-Eagle
Cannabis-infused gummies flavored like Huma Lupa Licious Short's beer.
Special to the Record-Eagle
TRAVERSE CITY It took two years for Joe Nellers concept of a Shorts beer-flavored cannabis edible to come to life.
Neller, the co-founder of Green Peak Innovations, brainstormed the idea in a meeting one day in 2017. The next day, his phone started ringing.
It was Joe Short.
Green Peak Innovations, which does business as Skymint, a medical marijuana retailer in Michigan, will open its location in Traverse City on Wednesday.
But the licensing agreement it now has with Shorts to produce craft beer flavored medicated edibles began nearly a year ago.
We reached out way early, Neller said. We started having conversations with the guys with Shorts before we were even licensed to grow and distribute cannabis products.
Scott Newman-Bale, Shorts chief executive officer, said the licensing agreement is the first of the companys kind.
We helped them develop the flavor profile and things they could use to create similar flavors to the product, Newman-Bale said. It was trying to make the experience as close to the beer as possible, and that includes adding some stuff and taking some stuff out, but most of it is the fruit bases that are very close.
Neller said the three products Skymint created, which all will be available at the Traverse City location, are Soft Parade, Huma Lupa Licious, and Mosa from Shorts Starcut Ciders line.
He also hopes these arent the last of the partnership.
At one point we had brainstormed taking some of these same flavors and putting them into other product categories like vape pens and maybe looking at potentially expanding the gummy line into some other flagship Shorts beers, Neller said.
Neller also said he hopes Shorts can be a good partner for cannabis-infused beverages, if and when the regulations in the state of Michigan allow them to do so.
Joe (Short) was very excited about the opportunity to have people who he said has come up to him over the years and said, Hey, I really enjoy the flavor of your beers, but for whatever reason, I cant handle the alcohol.
He was really excited about the potential of offering people non-alcoholic versions of his craft beers that were then infused with some very light doses of cannabis, but then they could still feel some level of intoxication and do so in a way that was more responsible to their individual personalities and preference.
The Traverse City Skymint location opens Wednesday. In an effort to keep patients safe during the coronavirus pandemic, Skymint Traverse City plans to offer online ordering for curbside pickup service until further notice.
The location, 822 E Front St., is open from 11 a.m. to 6 p.m. Wednesday through Monday (closed Tuesday).
Patients can place orders at www.skymint.com
Tags",Green Peak Innovations,alliance & partnership,executive statement,,,
Womens health app Flo picks up $50M in fresh funding to fuel R&D rapid growth,"Womens health app Flo picks up $50M in fresh funding to fuel R&D, rapid growth
by Emmy Lucas
Sep 9, 2021 8:30am
The women's health app Flo uses AI to track and predict menstrual cycles. (Flo)
The popular womens health app Flojust got more personal as it gains traction in the femtech industry.
In its latest financing, Flo secured $50 million, the company announced Thursday. The series B funding round was led by VNV Global and Target Global and brings its total capital raised to $65 million. The startup is now valued at $800 million, according to company executives.
The financing will be used to enhance the apps personalization capabilities and provide users with advanced insights and patterns to their menstrual cycles and overall health. The app tracks cycles and symptom patterns, using AI to provide users with period and ovulation predictions.
The London-based company also plans to grow its headcount in various product, engineering and medical positions. Its employee base across Europe and the U.S. has more than doubled in the last two years to 250 employees, according to a company press release.
Founded in 2015, its business model is subscription-based. Flo has accumulated 200 million users across the world and is available in more than 20 languages. In the last year, the apps active subscriber base increased four times. In addition to cycle and ovulation tracking, the app also provides health insights, tips and a private community for women to chat.
Flo has 32 million monthly active users, according to the company.
RELATED:
Complaint to FTC accuses Facebook of exposing sensitive health data in groups
Flos consumer-facing app grows amid the shift in focus on preventative care, and investors are picking up on that.
Flo is a category-defining company in the femtech industry, said Alexander Frolov, CEO and co-founder of Target Global in a statement. As of this year, were just starting to see a shift in startups addressing specific female health conditions, but there are very few companies that are addressing the root causes of these conditions. Flos proactive platform is ahead of the curve, and has raised the bar for what consumers should expect from consumer health apps.""
Women's digital health startups are attracting big investment dollars. Funding for women-focused digital-health startups rose 105% in 2020 to $418 million and was spread across 22 companies, nearly twice the number from a year earlier, according to Rock Health, a San Francisco-based seed and early-stage venture fund.
But the startup has been in hot water over its data-sharing practices. In January, the company settled with the Federal Trade Commission (FTC)over allegations that it lied to users about sharing private health information with third-party firms, including Facebook and Google.
Flo promised to keep users health data private and only use it to provide the apps services to users. But according to the FTC's complaint, Flo disclosed health data from millions of users of its Flo period and ovulation tracker app to third parties that provided marketing and analytics services to the app, including Facebooks analytics division, Googles analytics division, Googles Fabric service, AppsFlyer and Flurry, according to the complaint
RELATED:
With consumers' health and privacy on the line, do mental wellness apps need more oversight?
As part of the settlement with the FTC, Flo Health must notify affected users about the disclosure of their health information and instruct any third party that received users health information to destroy that data.
On its website, Flo addressed the data-sharing allegations, writing that it sent an identifying number related to users and information about their period and pregnancy to companies that help the company measure and analyze trends, usage, and activities on the app, including the analytics divisions of Facebook, Flurry, Fabric, and Google.
""No information was shared with the social media divisions of these companies. We did not share your name, address, or birthday with anyone at any time,"" the statementreads.
Flo also is facing a consolidated class-action lawsuit stemming from the alleged unlawful data disclosure, Reuters reportedlast week. The newly filed action brings together plaintiffs from seven proposed class actions filed against Flo Health earlier this year.
Read more on",Flo Healthcare,funding round,executive statement,,,
